id,name,department,role,email,phone,address,salary,bonus,performance_rating,number_of_working_days,project_name,project_status
2,Elizabeth Horton,Finance,Intern,meganmartinez@example.org,+1-489-521-2193x921,"89847 Castillo Camp, Smithton, AK 15821",88863.78,9699.72,3,103,Synergize Out-Of-The-Box Portals,Delayed
3,Angel Anderson,Finance,Intern,jmora@example.org,867-282-7755,"818 Cody Mall, Parrishville, MN 78374",92721.71,2292.54,4,159,Streamline Next-Generation Content,Ongoing
4,Keith Hess,Marketing,Intern,johnsonmelissa@example.com,3733046297,"1593 Ball Forges Suite 354, New Prestonchester, MI 21947",75862.95,2254.96,1,235,Re-Intermediate Transparent Markets,Ongoing
5,James Olson,Finance,Manager,jill71@example.org,770-937-4370,"487 Cummings Burg, Duncanborough, AZ 27906",112922.97,5215.09,3,191,Synergize Integrated Portals,Ongoing
6,Bruce Bennett,IT,Analyst,davidsonarthur@example.com,665-812-6287x1981,"70190 Long Expressway Suite 159, Jonesstad, MT 30868",94982.23,4286.55,3,225,Expedite E-Business Roi,Completed
7,Matthew Cruz,Finance,Analyst,michellemartinez@example.com,7803481026,"73269 Marks Ports Apt. 133, East Tony, NV 96380",43312.48,2480.8,4,166,Synergize Out-Of-The-Box Portals,Delayed
8,Stephanie Soto,Finance,Intern,ldickson@example.net,(954)643-4399,"3752 Travis Point, Port Ashleytown, OK 05735",64731.21,1328.43,2,135,Streamline Next-Generation Content,Ongoing
9,Harold Hobbs,IT,Developer,bobby70@example.net,+1-951-439-4863x314,"5040 White Village, Christopherport, MA 84679",84835.12,8613.81,2,212,Expedite E-Business Roi,Completed
10,Teresa Morgan,Marketing,Developer,terri81@example.net,606-374-9691x0054,"2510 Susan Expressway, Melissaville, NC 77994",74271.34,5019.73,5,142,Synergize Out-Of-The-Box Portals,Delayed
11,Yvette Torres,Marketing,Developer,irogers@example.org,4352870286,"97759 Ann Harbors Suite 204, East Michaelton, MT 78078",107123.42,5001.05,3,204,Expedite E-Business Roi,Completed
12,Janet Lopez,Finance,Intern,marynguyen@example.org,(577)565-4451,"7814 Arnold Oval, Lake Gregorymouth, NM 39415",85423.06,7037.25,5,181,Synergize Integrated Portals,Ongoing
13,Seth Simmons,Marketing,Analyst,ricardobarnett@example.net,(255)590-4788x6043,"728 Debra Ports Suite 795, Jamieton, NM 64117",92469.97,9227.25,1,135,Synergize Integrated Portals,Ongoing
14,Charles Rodriguez,Finance,Intern,johnathanmoore@example.com,994-227-2757x9022,"008 Michael Brook Apt. 386, Lake Kimberlyfurt, NC 25163",61797.12,9696.36,4,110,Expedite E-Business Roi,Completed
15,Lynn Lester,Finance,Analyst,veronica76@example.org,710.820.9287x9555,"588 Christopher Vista, Timothyville, NY 71951",69192.64,5309.83,3,250,Synergize Integrated Portals,Ongoing
16,Ronald Alvarado,HR,Analyst,chadtownsend@example.net,(308)821-7796x845,"412 Nicole Fall, South Douglas, RI 21829",43044.11,3241.78,4,179,Streamline Next-Generation Content,Ongoing
17,George Edwards,HR,Analyst,hughescathy@example.org,001-975-700-3611x499,"99682 Adams Roads Apt. 725, West Ryanbury, OH 86773",118923.31,1930.87,2,196,Streamline Next-Generation Content,Ongoing
18,Alexandra Lee,Marketing,Manager,victor68@example.org,9426293680,"72012 Valdez Rue, Smithburgh, NC 47833",106418.06,7413.28,1,155,Re-Intermediate Transparent Markets,Ongoing
19,Nicole Roth,HR,Developer,wendy15@example.com,814.501.1121,"290 Casey Prairie Apt. 088, Shanefurt, KY 34412",82634.17,6921.2,5,126,Synergize Integrated Portals,Ongoing
20,James Marshall,Finance,Developer,shawlisa@example.org,(567)682-9231x969,"6687 Kevin Landing Suite 452, Andrewtown, IA 10959",62592.07,1733.98,3,200,Expedite E-Business Roi,Completed
21,Hemanth,3,Manger,hmahe@gmail.com,9394567888,1668 sass,500000.0,2000.0,4,30,Synergize Integrated Portals,Ongoing
22,Brenda Thomas,Finance,Intern,oyoung@example.com,681-655-1991,"2390 Parsons Estates Apt. 328, Lake Gail, IN 70323",64213.94,3316.01,2,215,Mesh Robust Vortals,Delayed
23,Alvin Davis,HR,Analyst,schmidtchristopher@example.net,9092148008,"4819 Miller Roads Apt. 368, Amandafurt, MN 50478",93923.62,5446.61,4,218,Synergize Out-Of-The-Box Portals,Delayed
24,Valerie Carr,Finance,Developer,andreascott@example.net,001-995-852-0252x54131,"6465 Moore Forge Suite 896, Burtonhaven, NC 47120",41514.73,5820.05,2,174,Synergize Out-Of-The-Box Portals,Delayed
25,James Chen,Finance,Intern,tiffanywilliams@example.com,(326)273-8923,"0139 Clarke Cliffs Apt. 800, North Kellyborough, MI 90360",119743.73,2409.32,5,244,Deploy Web-Enabled Methodologies,Delayed
26,Melanie Newman,Finance,Intern,chapmanmary@example.org,001-476-563-2723x0686,"23992 Garner Track, East Christinetown, CT 80762",46825.97,2628.43,4,228,Envisioneer World-Class Architectures,Delayed
27,Jeffrey Williamson,Finance,Intern,smills@example.net,265-396-7864x1086,"3821 Case Mews, Samuelside, AK 63883",87894.71,6215.5,3,106,Benchmark Virtual Architectures,Completed
28,Sara Rosario MD,Finance,Developer,dawn44@example.org,(783)249-3416x91540,"13719 Nicholas Valleys, North Brandon, CO 95289",70902.43,8421.63,4,211,Re-Intermediate Transparent Markets,Ongoing
29,Julie Smith,Finance,Intern,jasongreen@example.com,+1-606-262-8268x26832,"40240 Fischer Station Suite 307, Allenburgh, MH 31574",115024.54,1818.52,2,206,Synergize Integrated Portals,Ongoing
30,Amber Nunez,HR,Developer,xcrawford@example.org,(700)203-3985x75740,"024 Nguyen Harbors Apt. 741, Melissahaven, RI 37592",55770.44,3011.89,2,189,Synergize Integrated Portals,Ongoing
31,Leslie Simon,Finance,Developer,millerkevin@example.com,907.317.3049,"PSC 4103, Box 3716, APO AE 20729",65808.75,5425.48,1,133,Synergize Out-Of-The-Box Portals,Delayed
32,Courtney Harper,Finance,Manager,rmueller@example.net,830.236.7544x488,"2480 Costa Vista Suite 531, East Chelseaville, NY 76378",97834.18,2031.87,5,202,Mesh Robust Vortals,Delayed
33,Charles Scott,HR,Developer,johnwaller@example.net,513-968-3894x04232,"168 Martinez Islands, Laurabury, VA 77904",118200.79,5057.12,2,109,Deploy Web-Enabled Methodologies,Delayed
34,Peter Williams,Marketing,Analyst,jnash@example.com,547.766.9271,"52079 Johnson Neck Suite 373, East Catherine, KY 28390",81320.65,2426.53,4,180,Re-Intermediate Transparent Markets,Ongoing
35,Patricia Mills,Finance,Manager,umaldonado@example.org,(699)731-6671,"98408 Daryl Corner Apt. 371, Sawyerland, TX 33219",64522.24,9611.69,2,245,Benchmark Virtual Architectures,Completed
36,Scott King,IT,Developer,chad53@example.org,324-441-0121,"PSC 4085, Box 4771, APO AP 00797",47899.74,3331.88,3,124,Re-Intermediate Transparent Markets,Ongoing
37,Brad Knox,Finance,Analyst,tina29@example.net,(851)550-6451,"660 Jones Garden, Hansonburgh, AR 31497",64582.55,1620.01,4,231,Streamline Next-Generation Content,Ongoing
38,Corey Swanson,IT,Manager,duane42@example.com,001-953-909-2530x29230,"194 Morrison Stream, Randyville, AS 43880",43749.1,8509.47,1,188,Benchmark Virtual Architectures,Completed
39,Jessica Stout,HR,Analyst,christopher56@example.net,740-694-3217x39849,"724 Amanda Union Apt. 392, Lake Peterburgh, HI 32397",41858.25,2183.58,4,196,Mesh Robust Vortals,Delayed
40,Jeffrey Alvarez,HR,Developer,ndavid@example.net,501-830-0044x38727,"1221 Allison Lights, South Jennifermouth, IL 07009",55609.56,8244.12,4,112,Deploy Web-Enabled Methodologies,Delayed
41,Debbie Morrow,Finance,Intern,steven11@example.org,435.333.4088x15704,"67835 Evans Fields, Timothymouth, GA 41112",90404.42,2317.22,5,187,Benchmark Virtual Architectures,Completed
42,Kelly Hanna,Finance,Intern,dixonkristen@example.org,001-261-943-1691x06895,"482 Williams Road Apt. 507, Lake Willietown, ID 16817",114434.9,1356.41,5,129,Scale Clicks-And-Mortar Technologies,Delayed
43,Christopher Parker,HR,Analyst,iperez@example.org,+1-245-605-3844,"USS Young, FPO AP 63640",69942.19,3755.9,4,189,Synergize Integrated Portals,Ongoing
44,Jessica Marshall,HR,Analyst,armstrongsean@example.org,925.401.0198,"USNV Gomez, FPO AA 95473",59858.38,7269.13,4,250,Synergize Out-Of-The-Box Portals,Delayed
45,Monica Marquez,Marketing,Intern,landerson@example.net,628-793-1474x58711,"140 Jeffrey Point, Georgemouth, AK 88684",70350.83,8958.94,1,113,Mesh Robust Vortals,Delayed
46,Jerry Parker,Marketing,Analyst,ejohnson@example.net,(772)589-4157x63689,"29562 Sandra Manors, Nicoleton, MN 54576",79729.64,8909.31,4,236,Synergize Integrated Portals,Ongoing
47,Melissa Petty,Finance,Intern,guerreropaul@example.com,001-358-532-5933,"720 Rogers Mountain, East Sandraside, NM 42893",114418.39,4593.97,3,224,Synergize Integrated Portals,Ongoing
48,Elizabeth Hood,HR,Developer,fadkins@example.org,640.286.8226x2568,"7101 Jennifer Common, Calderonberg, AK 09315",100160.94,5622.44,3,139,Re-Intermediate Transparent Markets,Ongoing
49,Annette Johns,Finance,Developer,connierodriguez@example.net,001-647-967-0081x444,"947 Stephanie Groves Suite 948, Angelaborough, VA 49259",111311.83,1161.03,3,183,Synergize Out-Of-The-Box Portals,Delayed
50,Christine Jones,Finance,Intern,brightnathan@example.org,268.544.0510x0669,"105 Kenneth Junction, Port Latashahaven, AZ 28963",42051.48,6300.45,5,193,Synergize Out-Of-The-Box Portals,Delayed
51,Alyssa Anderson,HR,Developer,christopheredwards@example.com,462-936-7635,"95887 Lane Bypass Apt. 972, Thorntonview, MN 93388",46077.93,7822.14,2,217,Synergize Out-Of-The-Box Portals,Delayed
52,Gabriel Clark,Finance,Manager,aaron00@example.net,001-658-521-5217,"44575 Villegas Shores Apt. 371, Wendychester, DC 04043",99556.64,9659.9,1,180,Mesh Robust Vortals,Delayed
53,Steven Mcbride,HR,Manager,jasongilbert@example.net,257-505-2550x636,"9032 Patton Highway, Fostershire, RI 48528",95233.96,5591.67,4,214,Envisioneer World-Class Architectures,Delayed
54,John Newton,Marketing,Developer,bethanydaniel@example.com,+1-424-935-6399,"23905 Erin Court, Hawkinsmouth, PW 60877",69802.36,7975.93,5,247,Envisioneer World-Class Architectures,Delayed
55,Megan Hart,HR,Developer,collinskatrina@example.net,2786500592,"5648 Mejia Junctions Suite 628, Martinezton, MN 14251",102879.21,6049.03,2,248,Expedite E-Business Roi,Completed
56,Cynthia Sanchez,Finance,Developer,josephwatts@example.com,001-805-765-4391x958,"USS Boyd, FPO AP 01024",48344.63,7517.51,1,170,Deploy Web-Enabled Methodologies,Delayed
57,Sara Price,Finance,Intern,mvargas@example.net,421.411.2800,"334 Bradley Greens Suite 065, Cummingsmouth, NH 62695",51248.69,4494.54,1,154,Synergize Out-Of-The-Box Portals,Delayed
58,Kelly Valencia,Finance,Analyst,prattmichael@example.com,856.804.1322x17317,"PSC 7114, Box 8128, APO AP 61022",78120.15,6668.94,3,135,Re-Intermediate Transparent Markets,Ongoing
59,Logan Harrison,IT,Developer,turnersteven@example.com,573-767-8388x43586,"0434 Hernandez Pass Suite 451, Boothfort, WV 28139",40465.42,7338.01,1,198,Envisioneer World-Class Architectures,Delayed
